,precision,recall,f1-score,support
Benign,0.9992720923915194,0.9995488888419898,0.9994104714513876,379064.0
Bot,0.8441558441558441,0.6770833333333334,0.7514450867052023,288.0
DDoS,0.9998047103855017,0.9998047103855017,0.9998047103855017,25603.0
DoS GoldenEye,0.9922443044110518,0.9951385512882839,0.9936893203883496,2057.0
DoS Hulk,0.9984657248726262,0.9977436431484856,0.9981045534125274,34569.0
DoS Slowhttptest,0.9535333978702807,0.9416826003824091,0.9475709475709476,1046.0
DoS slowloris,0.9907235621521335,0.9916434540389972,0.9911832946635731,1077.0
FTP-Patator,0.9983136593591906,0.9983136593591906,0.9983136593591906,1186.0
Heartbleed,0.5,0.5,0.5,2.0
Infiltration,0.8,0.5714285714285714,0.6666666666666666,7.0
PortScan,0.9177377892030848,0.9130434782608695,0.9153846153846154,391.0
SSH-Patator,0.9953198127925117,0.9906832298136646,0.9929961089494164,644.0
Web Attack � Brute Force,0.7094017094017094,0.8469387755102041,0.772093023255814,294.0
Web Attack � Sql Injection,0.14285714285714285,0.25,0.18181818181818182,4.0
Web Attack � XSS,0.4,0.18461538461538463,0.25263157894736843,130.0
accuracy,0.9985953105327067,0.9985953105327067,0.9985953105327067,0.9985953105327067
macro avg,0.8161219833235064,0.7905112186937922,0.797407481263916,446362.0
weighted avg,0.9985217461779309,0.9985953105327067,0.9985364844363128,446362.0
