0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
378893,36,5,5,47,40,3,2,1,1,24,3,1,3,0
93,195,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,25598,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,2047,1,2,0,0,0,0,0,0,0,3,0
62,0,0,8,34491,1,0,0,0,0,7,0,0,0,0
51,0,0,3,0,985,7,0,0,0,0,0,0,0,0
3,0,0,0,0,5,1068,0,0,0,0,0,1,0,0
2,0,0,0,0,0,0,1184,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,4,0,0,0,0,0
29,0,0,0,4,0,0,0,0,0,357,0,0,0,1
6,0,0,0,0,0,0,0,0,0,0,638,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,249,0,35
2,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5,0,0,0,0,0,0,0,0,0,1,0,100,0,24
