,precision,recall,f1-score,support
Benign,0.9969059471064291,0.9995884599962012,0.9982454014237013,379064.0
Bot,1.0,0.4965277777777778,0.6635730858468677,288.0
DDoS,0.9990237044558129,0.9991797836191071,0.9991017379418082,25603.0
DoS GoldenEye,0.9980392156862745,0.9897909577053962,0.9938979741274103,2057.0
DoS Hulk,0.9981240473678039,0.9850444039457317,0.9915410933973939,34569.0
DoS Slowhttptest,0.9512867647058824,0.9894837476099426,0.9700093720712277,1046.0
DoS slowloris,0.9962756052141527,0.9935004642525533,0.99488609948861,1077.0
FTP-Patator,0.9983050847457627,0.9932546374367622,0.9957734573119188,1186.0
Heartbleed,1.0,0.5,0.6666666666666666,2.0
Infiltration,1.0,0.42857142857142855,0.6,7.0
PortScan,0.9407216494845361,0.9335038363171355,0.9370988446726572,391.0
SSH-Patator,1.0,0.9363354037267081,0.967121090617482,644.0
Web Attack � Brute Force,1.0,0.11564625850340136,0.2073170731707317,294.0
Web Attack � Sql Injection,0.0,0.0,0.0,4.0
Web Attack � XSS,1.0,0.007692307692307693,0.015267175572519083,130.0
accuracy,0.9969733086597874,0.9969733086597874,0.9969733086597874,0.9969733086597874
macro avg,0.925245467917777,0.6912079644769636,0.7333666048205997,446362.0
weighted avg,0.9969735852904432,0.9969733086597874,0.9965361035436682,446362.0
