0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
378908,0,25,2,54,50,0,2,0,0,23,0,0,0,0
145,143,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,25582,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,2036,0,2,0,0,0,0,0,0,0,0,0
516,0,0,1,34052,0,0,0,0,0,0,0,0,0,0
6,0,0,1,0,1035,4,0,0,0,0,0,0,0,0
6,0,0,0,0,1,1070,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1178,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,3,0,0,0,0,0
16,0,0,0,10,0,0,0,0,0,365,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,603,0,0,0
260,0,0,0,0,0,0,0,0,0,0,0,34,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0,0,0,0,1
