,precision,recall,f1-score,support
Benign,0.9968032204593891,0.9976891627658944,0.9972459948473452,16877.0
Bot,0.75,0.6666666666666666,0.7058823529411765,18.0
DDoS,0.9948453608247423,0.9872122762148338,0.9910141206675225,1173.0
DoS GoldenEye,0.9174311926605505,0.9615384615384616,0.9389671361502347,104.0
DoS Hulk,0.98375,0.9886934673366834,0.9862155388471178,1592.0
DoS Slowhttptest,0.875,0.9032258064516129,0.8888888888888888,62.0
DoS slowloris,0.9074074074074074,0.8909090909090909,0.8990825688073395,55.0
FTP-Patator,0.9272727272727272,1.0,0.9622641509433962,51.0
Heartbleed,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,1.0
PortScan,1.0,0.72,0.8372093023255814,25.0
SSH-Patator,1.0,0.7391304347826086,0.85,23.0
Web Attack � Brute Force,0.7777777777777778,0.5,0.6086956521739131,14.0
Web Attack � Sql Injection,0.0,0.0,0.0,0.0
Web Attack � XSS,1.0,0.4,0.5714285714285714,5.0
accuracy,0.9941,0.9941,0.9941,0.9941
macro avg,0.7420191790935065,0.6503376911110569,0.682459618534739,20000.0
weighted avg,0.9940190804682217,0.9941,0.9939444529789085,20000.0
