0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16838,4,5,9,11,7,2,1,0,0,0,0,0,0,0
6,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1158,0,13,0,0,0,0,0,0,0,0,0,0
4,0,0,100,0,0,0,0,0,0,0,0,0,0,0
17,0,1,0,1574,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,56,3,0,0,0,0,0,0,0,0
3,0,0,0,0,1,49,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,51,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,2,0,0,0,0,0,18,0,0,0,0
5,0,0,0,0,0,0,1,0,0,0,17,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,2,0,2
