,precision,recall,f1-score,support
Benign,0.9989244874180844,0.9996887069202034,0.9993064510599695,379064.0
Bot,0.9120879120879121,0.5763888888888888,0.7063829787234043,288.0
DDoS,0.999609375,0.9994922470023044,0.9995508075698689,25603.0
DoS GoldenEye,0.9970745977571916,0.9941662615459407,0.9956183057448881,2057.0
DoS Hulk,0.9992448665446836,0.9952558650814314,0.9972463768115942,34569.0
DoS Slowhttptest,0.9520737327188941,0.9875717017208413,0.9694978883153449,1046.0
DoS slowloris,0.9962825278810409,0.9953574744661096,0.9958197863446354,1077.0
FTP-Patator,0.9991539763113367,0.9957841483979764,0.9974662162162162,1186.0
Heartbleed,1.0,1.0,1.0,2.0
Infiltration,1.0,0.8571428571428571,0.9230769230769231,7.0
PortScan,0.9329896907216495,0.9258312020460358,0.9293966623876765,391.0
SSH-Patator,1.0,0.9503105590062112,0.9745222929936306,644.0
Web Attack � Brute Force,0.6935064935064935,0.9081632653061225,0.7864506627393225,294.0
Web Attack � Sql Injection,0.0,0.0,0.0,4.0
Web Attack � XSS,0.625,0.038461538461538464,0.07246376811594203,130.0
accuracy,0.9984989761673261,0.9984989761673261,0.9984989761673261,0.9984989761673261
macro avg,0.8737298439964858,0.8149076477324307,0.823119941339961,446362.0
weighted avg,0.9984332720653751,0.9984989761673261,0.9983544913140996,446362.0
