0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
378946,16,10,3,17,48,0,1,0,0,23,0,0,0,0
122,166,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,25590,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,2045,2,2,0,0,0,0,0,0,0,0,0
159,0,0,3,34405,0,0,0,0,0,2,0,0,0,0
9,0,0,0,0,1033,4,0,0,0,0,0,0,0,0
2,0,0,0,0,2,1072,0,0,0,0,0,1,0,0
5,0,0,0,0,0,0,1181,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,6,0,0,0,0,0
21,0,0,0,7,0,0,0,0,0,362,0,1,0,0
32,0,0,0,0,0,0,0,0,0,0,612,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,267,0,3
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,1,0,116,0,5
