,precision,recall,f1-score,support
Benign,0.9995172573888637,0.9995699934575691,0.9995436247276257,379064.0
Bot,0.8904761904761904,0.6493055555555556,0.751004016064257,288.0
DDoS,0.9998828216545582,0.9998437683084014,0.9998632946001367,25603.0
DoS GoldenEye,0.9965986394557823,0.9970831307729704,0.9968408262454435,2057.0
DoS Hulk,0.9978905392128533,0.9989586045300703,0.9984242862305747,34569.0
DoS Slowhttptest,0.9496336996336996,0.9913957934990439,0.9700654817586529,1046.0
DoS slowloris,0.9953574744661096,0.9953574744661096,0.9953574744661096,1077.0
FTP-Patator,1.0,0.9957841483979764,0.9978876214617659,1186.0
Heartbleed,1.0,1.0,1.0,2.0
Infiltration,1.0,0.8571428571428571,0.9230769230769231,7.0
PortScan,0.9378238341968912,0.9258312020460358,0.9317889317889317,391.0
SSH-Patator,1.0,0.9953416149068323,0.9976653696498055,644.0
Web Attack � Brute Force,0.743202416918429,0.8367346938775511,0.7872,294.0
Web Attack � Sql Injection,1.0,0.5,0.6666666666666666,4.0
Web Attack � XSS,0.4642857142857143,0.3,0.3644859813084112,130.0
accuracy,0.9988731119584553,0.9988731119584553,0.9988731119584553,0.9988731119584553
macro avg,0.931644572512606,0.869489922464065,0.8919913665363536,446362.0
weighted avg,0.9988247493163838,0.9988731119584553,0.9988278163203267,446362.0
