0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
378901,23,3,1,63,50,0,0,0,0,22,0,1,0,0
101,187,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,25599,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,2051,2,2,0,0,0,0,0,0,0,0,0
29,0,0,6,34533,0,0,0,0,0,1,0,0,0,0
4,0,0,0,0,1037,4,0,0,0,0,0,0,0,1
1,0,0,0,0,3,1072,0,0,0,0,0,1,0,0
5,0,0,0,0,0,0,1181,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,6,0,0,0,0,0
21,0,0,0,7,0,0,0,0,0,362,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,641,0,0,0
4,0,0,0,0,0,1,0,0,0,0,0,246,0,43
1,0,0,0,1,0,0,0,0,0,0,0,0,2,0
7,0,0,0,0,0,0,0,0,0,1,0,83,0,39
