,precision,recall,f1-score,support
apache2,0.9932432432432432,0.9932432432432432,0.9932432432432432,148.0
back,0.9961685823754789,1.0,0.9980806142034548,260.0
buffer_overflow,0.7272727272727273,0.8,0.7619047619047619,10.0
ftp_write,0.0,0.0,0.0,2.0
guess_passwd,0.9883720930232558,0.9922178988326849,0.9902912621359223,257.0
httptunnel,0.896551724137931,0.9629629629629629,0.9285714285714286,27.0
imap,1.0,0.5,0.6666666666666666,2.0
ipsweep,0.9850543478260869,0.9945130315500685,0.9897610921501706,729.0
land,0.5,1.0,0.6666666666666666,4.0
loadmodule,0.6666666666666666,1.0,0.8,2.0
mailbomb,1.0,1.0,1.0,59.0
mscan,0.9507389162561576,0.9698492462311558,0.9601990049751243,199.0
multihop,0.0,0.0,0.0,5.0
named,0.0,0.0,0.0,3.0
neptune,0.9992340518656309,0.9987968937985344,0.9990154250082048,9143.0
nmap,1.0,0.9808306709265175,0.9903225806451613,313.0
normal,0.9978560291060291,0.9977263869039885,0.9977912037939323,15394.0
perl,0.0,0.0,0.0,1.0
phf,0.0,0.0,0.0,1.0
pod,0.9565217391304348,1.0,0.9777777777777777,44.0
portsweep,0.9837133550488599,0.9837133550488599,0.9837133550488599,614.0
processtable,1.0,0.9854014598540146,0.9926470588235294,137.0
ps,1.0,0.3333333333333333,0.5,3.0
rootkit,0.6666666666666666,0.4,0.5,5.0
saint,0.7704918032786885,0.734375,0.752,64.0
satan,0.978110599078341,0.9736238532110092,0.9758620689655172,872.0
sendmail,0.5,0.6666666666666666,0.5714285714285714,3.0
smurf,1.0,0.9951768488745981,0.9975825946817083,622.0
snmpgetattack,0.8780487804878049,1.0,0.935064935064935,36.0
snmpguess,0.9850746268656716,1.0,0.9924812030075187,66.0
spy,0.0,0.0,0.0,0.0
sqlattack,0.0,0.0,0.0,0.0
teardrop,1.0,1.0,1.0,180.0
udpstorm,0.0,0.0,0.0,0.0
warezclient,0.9776536312849162,0.9831460674157303,0.9803921568627451,178.0
warezmaster,0.9895287958115183,0.9792746113989638,0.984375,193.0
worm,0.0,0.0,0.0,0.0
xlock,0.3333333333333333,0.5,0.4,2.0
xsnoop,0.0,0.0,0.0,1.0
xterm,1.0,0.3333333333333333,0.5,3.0
accuracy,0.9948279359069705,0.9948279359069705,0.9948279359069705,0.9948279359069705
macro avg,0.6680075428189861,0.6514546215896416,0.6446459667906475,29582.0
weighted avg,0.9949820731663572,0.9948279359069705,0.9948328053283505,29582.0
