,precision,recall,f1-score,support
apache2,1.0,0.9932432432432432,0.9966101694915255,148.0
back,1.0,1.0,1.0,260.0
buffer_overflow,0.5,0.5,0.5,10.0
ftp_write,0.0,0.0,0.0,2.0
guess_passwd,0.9768339768339769,0.9844357976653697,0.9806201550387597,257.0
httptunnel,1.0,0.9629629629629629,0.9811320754716981,27.0
imap,1.0,0.5,0.6666666666666666,2.0
ipsweep,0.9679144385026738,0.9931412894375857,0.980365605958023,729.0
land,1.0,0.5,0.6666666666666666,4.0
loadmodule,0.0,0.0,0.0,2.0
mailbomb,1.0,1.0,1.0,59.0
mscan,0.98989898989899,0.9849246231155779,0.9874055415617129,199.0
multihop,0.0,0.0,0.0,5.0
named,1.0,0.3333333333333333,0.5,3.0
neptune,0.999562650338946,0.9998906267089577,0.9997266116244737,9143.0
nmap,0.9901639344262295,0.9648562300319489,0.9773462783171522,313.0
normal,0.9974037775037321,0.9982460698973626,0.9978247459498069,15394.0
perl,1.0,1.0,1.0,1.0
phf,0.0,0.0,0.0,1.0
pod,0.9555555555555556,0.9772727272727273,0.9662921348314607,44.0
portsweep,0.9950819672131147,0.988599348534202,0.9918300653594772,614.0
processtable,1.0,0.9854014598540146,0.9926470588235294,137.0
ps,1.0,0.3333333333333333,0.5,3.0
rootkit,1.0,0.2,0.3333333333333333,5.0
saint,1.0,0.28125,0.43902439024390244,64.0
satan,0.9422657952069716,0.9919724770642202,0.9664804469273743,872.0
sendmail,1.0,0.3333333333333333,0.5,3.0
smurf,1.0,0.9919614147909968,0.9959644874899112,622.0
snmpgetattack,1.0,1.0,1.0,36.0
snmpguess,1.0,1.0,1.0,66.0
spy,0.0,0.0,0.0,0.0
sqlattack,0.0,0.0,0.0,0.0
teardrop,1.0,0.9944444444444445,0.9972144846796658,180.0
udpstorm,0.0,0.0,0.0,0.0
warezclient,0.9621621621621622,1.0,0.9807162534435262,178.0
warezmaster,0.9447236180904522,0.9740932642487047,0.9591836734693877,193.0
worm,0.0,0.0,0.0,0.0
xlock,0.0,0.0,0.0,2.0
xsnoop,0.0,0.0,0.0,1.0
xterm,0.0,0.0,0.0,3.0
accuracy,0.9945575011831519,0.9945575011831519,0.9945575011831519,0.9945575011831519
macro avg,0.7055391716433201,0.594167399481808,0.6214262711337013,29582.0
weighted avg,0.9941815732543987,0.9945575011831519,0.9937907921664343,29582.0
