,precision,recall,f1-score,support
apache2,1.0,0.9897959183673469,0.9948717948717949,98.0
back,0.9826589595375722,0.9883720930232558,0.9855072463768116,172.0
buffer_overflow,1.0,0.2,0.3333333333333333,5.0
ftp_write,0.0,0.0,0.0,2.0
guess_passwd,0.9770114942528736,0.9444444444444444,0.96045197740113,180.0
httptunnel,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
imap,0.0,0.0,0.0,0.0
ipsweep,0.9623762376237623,0.9878048780487805,0.9749247743229689,492.0
land,0.8,1.0,0.8888888888888888,4.0
loadmodule,0.0,0.0,0.0,2.0
mailbomb,0.9387755102040817,1.0,0.968421052631579,46.0
mscan,0.9920634920634921,0.9541984732824428,0.9727626459143969,131.0
multihop,0.0,0.0,0.0,3.0
named,0.0,0.0,0.0,3.0
neptune,0.9991978180651372,0.9996789727126806,0.9994383374789376,6230.0
nmap,0.9212962962962963,0.9567307692307693,0.9386792452830188,208.0
normal,0.9961210240496509,0.9951559775237357,0.9956382669380633,10322.0
perl,0.5,1.0,0.6666666666666666,1.0
phf,0.0,0.0,0.0,0.0
pod,0.9142857142857143,0.9696969696969697,0.9411764705882353,33.0
portsweep,0.9807692307692307,0.983132530120482,0.9819494584837545,415.0
processtable,0.9896907216494846,0.9696969696969697,0.9795918367346939,99.0
ps,0.0,0.0,0.0,3.0
rootkit,0.5,0.25,0.3333333333333333,4.0
saint,0.6956521739130435,0.37209302325581395,0.48484848484848486,43.0
satan,0.9497645211930926,0.9726688102893891,0.9610802223987291,622.0
sendmail,1.0,0.5,0.6666666666666666,2.0
smurf,0.9930232558139535,0.9861431870669746,0.9895712630359212,433.0
snmpgetattack,0.9629629629629629,1.0,0.9811320754716981,26.0
snmpguess,0.9615384615384616,0.9433962264150944,0.9523809523809523,53.0
spy,0.0,0.0,0.0,0.0
sqlattack,0.0,0.0,0.0,0.0
teardrop,1.0,0.9805825242718447,0.9901960784313726,103.0
udpstorm,0.0,0.0,0.0,0.0
warezclient,0.8888888888888888,0.9824561403508771,0.9333333333333333,114.0
warezmaster,0.8776978417266187,0.9312977099236641,0.9037037037037037,131.0
worm,0.0,0.0,0.0,0.0
xlock,0.0,0.0,0.0,0.0
xsnoop,0.0,0.0,0.0,0.0
xterm,0.0,0.0,0.0,1.0
accuracy,0.9906,0.9906,0.9906,0.9906
macro avg,0.5918165873430802,0.5674862720219858,0.5660853243595834,20000.0
weighted avg,0.9899410328730628,0.9906,0.990033689672927,20000.0
