,precision,recall,f1-score,support
apache2,1.0,0.9932432432432432,0.9966101694915255,148.0
back,1.0,1.0,1.0,260.0
buffer_overflow,0.7272727272727273,0.8,0.7619047619047619,10.0
ftp_write,0.0,0.0,0.0,2.0
guess_passwd,0.9922480620155039,0.9961089494163424,0.9941747572815534,257.0
httptunnel,1.0,0.9629629629629629,0.9811320754716981,27.0
imap,1.0,0.5,0.6666666666666666,2.0
ipsweep,0.9918256130790191,0.9986282578875172,0.9952153110047847,729.0
land,1.0,0.5,0.6666666666666666,4.0
loadmodule,0.0,0.0,0.0,2.0
mailbomb,1.0,1.0,1.0,59.0
mscan,0.995,1.0,0.9974937343358395,199.0
multihop,0.0,0.0,0.0,5.0
named,1.0,0.3333333333333333,0.5,3.0
neptune,1.0,0.9998906267089577,0.9999453103636861,9143.0
nmap,0.9967637540453075,0.9840255591054313,0.9903536977491961,313.0
normal,0.9977949283351709,0.9994153566324542,0.998604485119917,15394.0
perl,1.0,1.0,1.0,1.0
phf,0.0,0.0,0.0,1.0
pod,0.9347826086956522,0.9772727272727273,0.9555555555555556,44.0
portsweep,0.9950900163666121,0.990228013029316,0.9926530612244898,614.0
processtable,1.0,0.9927007299270073,0.9963369963369964,137.0
ps,1.0,0.3333333333333333,0.5,3.0
rootkit,1.0,0.2,0.3333333333333333,5.0
saint,0.868421052631579,0.515625,0.6470588235294118,64.0
satan,0.9599555061179088,0.9896788990825688,0.9745906267645398,872.0
sendmail,1.0,0.6666666666666666,0.8,3.0
smurf,1.0,0.9967845659163987,0.998389694041868,622.0
snmpgetattack,0.972972972972973,1.0,0.9863013698630136,36.0
snmpguess,1.0,1.0,1.0,66.0
spy,0.0,0.0,0.0,0.0
sqlattack,0.0,0.0,0.0,0.0
teardrop,1.0,0.9944444444444445,0.9972144846796658,180.0
udpstorm,0.0,0.0,0.0,0.0
warezclient,1.0,1.0,1.0,178.0
warezmaster,0.9896907216494846,0.9948186528497409,0.9922480620155039,193.0
worm,0.0,0.0,0.0,0.0
xlock,0.5,0.5,0.5,2.0
xsnoop,0.0,0.0,0.0,1.0
xterm,1.0,0.3333333333333333,0.5,3.0
accuracy,0.9966533702927456,0.9966533702927456,0.9966533702927456,0.9966533702927456
macro avg,0.7480454490795484,0.6388123663786445,0.6680612410850169,29582.0
weighted avg,0.9962538612261999,0.9966533702927456,0.9962302394317831,29582.0
