,precision,recall,f1-score,support
apache2,1.0,0.9932432432432432,0.9966101694915255,148.0
back,1.0,1.0,1.0,260.0
buffer_overflow,0.8181818181818182,0.9,0.8571428571428571,10.0
ftp_write,0.0,0.0,0.0,2.0
guess_passwd,0.9921875,0.9883268482490273,0.9902534113060428,257.0
httptunnel,0.96,0.8888888888888888,0.9230769230769231,27.0
imap,1.0,0.5,0.6666666666666666,2.0
ipsweep,0.9918032786885246,0.9958847736625515,0.9938398357289527,729.0
land,1.0,1.0,1.0,4.0
loadmodule,0.0,0.0,0.0,2.0
mailbomb,1.0,1.0,1.0,59.0
mscan,0.9802955665024631,1.0,0.9900497512437811,199.0
multihop,0.0,0.0,0.0,5.0
named,0.75,1.0,0.8571428571428571,3.0
neptune,0.9998906267089577,0.9998906267089577,0.9998906267089577,9143.0
nmap,0.9903846153846154,0.987220447284345,0.9888,313.0
normal,0.9989613087509738,0.9996102377549695,0.999285667900513,15394.0
perl,0.0,0.0,0.0,1.0
phf,0.0,0.0,0.0,1.0
pod,0.9565217391304348,1.0,0.9777777777777777,44.0
portsweep,1.0,0.990228013029316,0.9950900163666121,614.0
processtable,1.0,1.0,1.0,137.0
ps,0.0,0.0,0.0,3.0
rootkit,0.6,0.6,0.6,5.0
saint,0.8260869565217391,0.59375,0.6909090909090909,64.0
satan,0.9674523007856342,0.9885321100917431,0.9778786159954623,872.0
sendmail,1.0,0.6666666666666666,0.8,3.0
smurf,1.0,0.9983922829581994,0.999195494770716,622.0
snmpgetattack,0.9473684210526315,1.0,0.972972972972973,36.0
snmpguess,1.0,1.0,1.0,66.0
spy,0.0,0.0,0.0,0.0
sqlattack,0.0,0.0,0.0,0.0
teardrop,1.0,0.9944444444444445,0.9972144846796658,180.0
udpstorm,0.0,0.0,0.0,0.0
warezclient,0.9888888888888889,1.0,0.994413407821229,178.0
warezmaster,0.9896907216494846,0.9948186528497409,0.9922480620155039,193.0
worm,0.0,0.0,0.0,0.0
xlock,1.0,0.5,0.6666666666666666,2.0
xsnoop,0.0,0.0,0.0,1.0
xterm,1.0,0.6666666666666666,0.8,3.0
accuracy,0.997025218037996,0.997025218037996,0.997025218037996,0.997025218037996
macro avg,0.6939428435561542,0.6561640975624691,0.6681781339096193,29582.0
weighted avg,0.9966250053339967,0.997025218037996,0.996755583352812,29582.0
